"Oh, so they have Internet on computers now!",Homer Simpson
"In theory, Communism works! In theory.",Homer Simpson
"In theory, Communism works! In theory.",Homer Simpson
I believe the children are the future... Unless we stop them now!,Homer Simpson
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
